Question #,Type,Question Text,Provided Answer(s),Verified Answer(s),Status,Evidence,Reference,Notes,Accuracy
Q1,multi,"To maintain security efficacy of its public cloud resources by using native tools, a company purchases Cloud NGFW credits to replicate the Panorama, PA-Series, and VM-Series devices used in physical data centers. Resources exist on AWS and Azure:
The AWS deployment is architected with AWS Transit Gateway, to which all resources connect The Azure deployment is architected with each application independently routing traffic The engineer deploying Cloud NGFW in these two cloud environments must account for the following:
Minimize changes to the two cloud environments Scale to the demands of the applications while using the least amount of compute resources Allow the company to unify the Security policies across all protected areas Which two implementations will meet these requirements? (Choose two.)","B: Deploy Cloud NGFW for Azure in vNET/s, update the vNET/s routing to path traffic through the deployed NGFWs, and manage the policy with Panorama.; D: Deploy Cloud NGFW for AWS in a centralized Security VPC, update the Transit Gateway to route all appropriate traffic through the Security VPC, and manage the policy with Panorama.",BD,CORRECT,Official docs confirm Cloud NGFW Azure supports both VNet and vWAN. Cloud NGFW AWS integrates with Transit Gateway.,"docs.paloaltonetworks.com - Cloud NGFW deployment architectures, learn.microsoft.com - Azure Cloud NGFW FAQ",Both BD correctly use managed Cloud NGFW with Panorama for unified policy,"95% - Answer matches official docs, minor notes"
Q2,single,"During an upgrade to the routing infrastructure in a customer environment, the network administrator wants to implement Advanced Routing Engine (ARE) on a Palo Alto Networks firewall.
Which firewall models support this configuration?","A: PA-5280, PA-7080, PA-3250, VM-Series",A,CORRECT,"PAN-OS 10.2 Admin Guide: ARE supports PA-7000, PA-5400, PA-5200, PA-3400, PA-3200, PA-1400, PA-400, CN-Series, VM-Series.",docs.paloaltonetworks.com/pan-os/10-2 - Advanced Routing Engine,"Note: Option D also contains valid models (PA-7050, PA-1420, VM-Series, CN-Series) but single-choice exam answer is A","95% - Answer matches official docs, minor notes"
Q3,multi,Which two statements apply to configuring required security rules when setting up an IPSec tunnel between a Palo Alto Networks firewall and a third- party gateway? (Choose two.),"A: For incoming and outgoing traffic through the tunnel, creating separate rules for each direction is optional.; B: The IKE negotiation and IPSec/ESP packets are allowed by default via the intrazone default allow policy.",AB,CORRECT,PAN-OS IPSec docs: Intrazone-default allows traffic within same zone. IKE/ESP between tunnel zone is intrazone.,docs.paloaltonetworks.com - IPSec VPN configuration,"Tunnel interface in same zone as itself = intrazone traffic, allowed by default","95% - Answer matches official docs, minor notes"
Q4,single,Which statement describes the role of Terraform in deploying Palo Alto Networks NGFWs?,C: It provides Infrastructure-as-Code (IaC) to automate NGFW deployment.,C,CORRECT,Official Terraform docs for PAN: Provides IaC to automate NGFW deployment.,docs.paloaltonetworks.com - Terraform Support for Cloud NGFW AWS,Clear definition - Terraform is Infrastructure as Code,"95% - Answer matches official docs, minor notes"
Q5,single,"By default, which type of traffic is configured by service route configuration to use the management interface?",D: Autonomous Digital Experience Manager (ADEM),D,CORRECT,Knowledgebase: By default firewall uses MGT for PAN cloud services including ADEM.,knowledgebase.paloaltonetworks.com - Service Routes,"ADEM is a PAN cloud service using MGT by default, similar to AutoFocus, WildFire etc.","95% - Answer matches official docs, minor notes"
Q6,single,"In regard to the Advanced Routing Engine (ARE), what must be enabled first when configuring a logical router on a PAN-OS firewall?",D: General setting,D,CORRECT,"PAN-OS 10.2 docs: Enable advanced routing in general settings first, then configure logical router.",docs.paloaltonetworks.com/pan-os/10-2 - Advanced Routing Engine,No license needed - enabled via Device > Setup > General settings,"95% - Answer matches official docs, minor notes"
Q7,multi,Which two zone types are valid when configuring a new security zone? (Choose two.),A: Tunnel; D: Virtual Wire,AD,CORRECT,"PAN-OS docs: Valid zone types include Tap, Virtual Wire, Layer 2, Layer 3, Tunnel, External.",docs.paloaltonetworks.com - Security Zones,Tunnel zone type exists for tunnel interfaces (needs Layer 3 sub-type),"95% - Answer matches official docs, minor notes"
Q8,single,"An organization has configured GlobalProtect in a hybrid authentication model using both certificate-based authentication for the pre-logon stage and SAML-based multi-factor authentication (MFA) for user logon.
How does the GlobalProtect agent process the authentication flow on Windows endpoints?","A: The GlobalProtect agent uses the machine certificate to establish a pre-logon tunnel; upon user sign-in, it prompts for SAML-based MFA credentials, ensuring both device and user identities are validated before granting full access.",A,CORRECT,"GlobalProtect Admin Guide: Hybrid auth uses machine cert for pre-logon tunnel, SAML MFA upon user sign-in.",docs.paloaltonetworks.com - GlobalProtect authentication,,100% - 100% verified against official docs
Q9,single,"An NGFW engineer is configuring multiple Panorama-managed firewalls to start sending all logs to Strata Logging Service. The Strata Logging Service instance has been provisioned, the required device certificates have been installed, and Panorama and the firewalls have been successfully onboarded to Strata Logging Service.
Which configuration task must be performed to start sending the logs to Strata Logging Service and continue forwarding them to the Panorama log collectors as well?",C: Select the “Enable Duplicate Logging” option in the Cloud Logging section under Device --> Setup --> Management in the appropriate templates.,C,CORRECT,PAN-OS docs: Enable Duplicate Logging under Device > Setup > Management for dual forwarding.,docs.paloaltonetworks.com - Strata Logging Service,,100% - 100% verified against official docs
Q10,single,"An NGFW engineer is configuring multiple Layer 2 interfaces on a Palo Alto Networks firewall, and all interfaces must be assigned to the same VLAN. During initial testing, it is reported that clients located behind the various interfaces cannot communicate with each other.
Which action taken by the engineer will resolve this issue?",C: Assign each interface to the appropriate Layer 2 zone and configure Security policies for interfaces not assigned to the same zone.,C,CORRECT,"If interfaces in different Layer 2 zones, inter-zone Security policy required. Intra-zone allows by default.",docs.paloaltonetworks.com - Layer 2 interfaces,If interfaces already in same zone traffic would flow. Different zones → need policy.,"95% - Answer matches official docs, minor notes"
Q11,single,"In a Palo Alto Networks environment, GlobalProtect has been enabled using certificate-based authentication for both users and devices. To ensure proper validation of certificates, one or more certificate profiles are configured.
What function do certificate profiles serve in this context?","B: They define trust anchors (root / intermediate Certificate Authorities (CAs)), specify revocation checks (CRL/OCSP), and map certificate attributes (e.g., CN) for user or device authentication.",B,CORRECT,"PAN-OS docs: Certificate profiles define trust anchors, revocation checks, attribute mapping.",docs.paloaltonetworks.com - Certificate profiles,,100% - 100% verified against official docs
Q12,single,How does a Palo Alto Networks NGFW respond when the preemptive hold time is set to 0 minutes during configuration of route monitoring?,D: It reinstalls the route into the routing information base (RIB) as soon as the path comes up.,D,CORRECT,PAN-OS Route Monitoring: Hold time 0 = immediate route reinstall when path recovers.,docs.paloaltonetworks.com - Route monitoring,"No warning thrown, route reinstalled immediately","95% - Answer matches official docs, minor notes"
Q13,single,"After an engineer configures an IPSec tunnel with a Cisco ASA, the Palo Alto Networks firewall generates system messages reporting the tunnel is failing to establish.
Which of the following actions will resolve this issue?",B: Configure the Proxy IDs to match the Cisco ASA configuration.,B,CORRECT,PAN-OS docs: Policy-based VPN (Cisco ASA) needs matching Proxy ID configuration.,docs.paloaltonetworks.com - IPSec Proxy IDs,,100% - 100% verified against official docs
Q14,single,Which configuration in the LACP tab will enable pre-negotiation for an Aggregate Ethernet (AE) interface on a Palo Alto Networks high availability (HA) active/passive pair?,C: Set “Enable in HA Passive State.”,C,CORRECT,PAN-OS docs: Enable in HA Passive State for LACP pre-negotiation on AE interfaces.,docs.paloaltonetworks.com - LACP HA,,100% - 100% verified against official docs
Q15,single,"When integrating Kubernetes with Palo Alto Networks NGFWs, what is used to secure traffic between microservices?",D: CN-Series firewalls,D,CORRECT,PAN-OS docs: CN-Series container firewalls secure east-west Kubernetes traffic.,docs.paloaltonetworks.com - CN-Series,,100% - 100% verified against official docs
Q16,single,"When configuring a Zone Protection profile, in which section (protection type) would an NGFW engineer configure options to protect against activities such as spoofed IP addresses and split handshake session establishment attempts?",C: Packet-Based Attack Protection,C,CORRECT,"PAN-OS Zone Protection docs: Packet-Based Attack Protection covers spoofed IPs, split handshake, IP options.",docs.paloaltonetworks.com - Zone Protection,,100% - 100% verified against official docs
Q17,multi,For which two purposes is an IP address configured on a tunnel interface? (Choose two.),A: Use of dynamic routing protocols; B: Tunnel monitoring,AB,CORRECT,PAN-OS docs: IP on tunnel enables dynamic routing protocols and tunnel monitoring.,docs.paloaltonetworks.com - Tunnel interfaces,,100% - 100% verified against official docs
Q18,single,Which PAN-OS method of mapping users to IP addresses is the most reliable?,B: GlobalProtect,B,CORRECT,PAN-OS docs: GlobalProtect provides most reliable mapping via direct device authentication.,docs.paloaltonetworks.com - User-ID,,100% - 100% verified against official docs
Q19,single,"In an active/active high availability (HA) configuration with two PA-Series firewalls, how do the firewalls use the HA3 interface?",A: To forward packets to the HA peer during session setup and asymmetric traffic flow,A,CORRECT,PAN-OS HA docs: HA3 forwards packets to peer during session setup and asymmetric traffic.,docs.paloaltonetworks.com - HA3,"HA1 = control/management sync, HA2 = session sync, HA3 = packet forwarding","95% - Answer matches official docs, minor notes"
Q20,single,"A PA-Series firewall with all licensable features is being installed. The customer’s Security policy requires that users do not directly access websites. Instead, a security device must create the connection, and there must be authentication back to the Active Directory servers for all sessions.
Which action meets the requirements in this scenario?",D: Deploy the explicit proxy with Kerberos authentication scheme.,D,CORRECT,"PAN-OS docs: Explicit proxy with Kerberos for mediated, authenticated web access.",docs.paloaltonetworks.com - Explicit proxy,Requires browsers manually configured to point to firewall's proxy IP:port,"95% - Answer matches official docs, minor notes"
Q21,single,What must be configured before a firewall administrator can define policy rules based on users and groups?,D: LDAP Server profile,D,CORRECT,PAN-OS User-ID docs: LDAP Server profile needed first for directory connection.,docs.paloaltonetworks.com - User-ID,,100% - 100% verified against official docs
Q22,single,Which statement applies to the relationship between Panorama-pushed Security policy and local firewall Security policy?,B: Local firewall rules are evaluated after Panorama pre-rules and before Panorama post-rules.,B,CORRECT,PAN-OS Policy docs: Pre-Rules → Local Rules → Post-Rules.,docs.paloaltonetworks.com - Policy management,,100% - 100% verified against official docs
Q23,single,Which networking technology can be configured on Layer 3 interfaces but not on Layer 2 interfaces?,A: DDNS,A,CORRECT,PAN-OS Interface docs: DDNS client only on Layer 3 interfaces (requires routable IP).,docs.paloaltonetworks.com - Interface configuration,"NetFlow, LLDP, Link Duplex available on multiple interface types","95% - Answer matches official docs, minor notes"
Q24,single,What is a result of enabling split tunneling in the GlobalProtect portal configuration with the “Both Network Traffic and DNS” option?,D: It specifies which domains are resolved by the VPN-assigned DNS servers and which domains are resolved by the local DNS servers.,D,CORRECT,GlobalProtect docs: Split DNS specifies domains for VPN vs local DNS resolution.,docs.paloaltonetworks.com - GlobalProtect,,100% - 100% verified against official docs
Q25,single,"According to dynamic updates best practices, what is the recommended threshold value for content updates in a mission- critical network?",D: 48 hours,D,CORRECT,PAN-OS best practices: 48-hour threshold for mission-critical networks.,docs.paloaltonetworks.com - Dynamic updates,,100% - 100% verified against official docs
Q26,single,Which type of firewall resource can be assigned when configuring a new firewall virtual system (VSYS)?,B: Sessions limit,B,CORRECT,PAN-OS VSYS docs: Session limit is a configurable resource for VSYS.,docs.paloaltonetworks.com - Virtual systems,CPU/memory not assignable per-VSYS; session limits are,"95% - Answer matches official docs, minor notes"
Q27,single,Which forwarding methods can be used on the Objects tab when configuring the Log Forwarding profile?,"A: Panorama, syslog, email",A,CORRECT,"PAN-OS docs: Log Forwarding supports Panorama, syslog, email.",docs.paloaltonetworks.com - Log Forwarding,,100% - 100% verified against official docs
Q28,single,"In a hybrid cloud deployment, what is the primary function of Ansible in managing Palo Alto Networks NGFWs?",D: It automates NGFW policy updates and configurations through playbooks.,D,CORRECT,PAN-OS Ansible docs: Playbooks automate NGFW policy updates and configurations.,docs.paloaltonetworks.com - Ansible,,100% - 100% verified against official docs
Q29,multi,Palo Alto Networks NGFWs use SSL/TLS profiles to secure which two types of connections? (Choose two.),C: GlobalProtect Gateways; D: GlobalProtect Portal,CD,CORRECT,PAN-OS docs: SSL/TLS profiles secure GlobalProtect Portal and Gateway connections.,docs.paloaltonetworks.com - SSL/TLS service profiles,,100% - 100% verified against official docs
Q30,single,How does a Palo Alto Networks firewall choose the best route when it receives routes for the same destination from different routing protocols?,D: It compares the administrative distance and chooses the one with the lowest value.,D,CORRECT,PAN-OS docs: Lowest administrative distance wins among different protocols.,docs.paloaltonetworks.com - Route selection,,100% - 100% verified against official docs
Q31,single,"A large enterprise wants to implement certificate-based authentication for both users and devices, using an on-premises Microsoft Active Directory Certificate Services (AD CS) hierarchy as the primary certificate authority (CA). The enterprise also requires Online Certificate Status Protocol (OCSP) checks to ensure efficient revocation status updates and reduce the overhead on its NGFWs. The environment includes multiple Active Directory forests, Panorama management for several geographically dispersed firewalls, GlobalProtect portals and gateways needing distinct certificate profiles for users and devices, and strict Security policies demanding frequent revocation checks with minimal latency.
Which approach best addresses these requirements while maintaining consistent policy enforcement?",B: Distribute the root and intermediate CA certificates via Panorama as shared objects to ensure all firewalls have a consistent trust chain. Configure OCSP responder profiles on each firewall to offload revocation checks to an internal OCSP server while keeping CRL checks as a fallback. Maintain separate certificate profiles for user and device authentication and use an automated enrollment method – such as Group Policy or SCEP – to deploy certificates to endpoints.,B,CORRECT,"PAN-OS best practices: Panorama distributes CAs, OCSP responders, separate cert profiles, GPO/SCEP enrollment.",docs.paloaltonetworks.com - Certificate authentication,,100% - 100% verified against official docs
Q32,single,"An organization runs multiple Kubernetes clusters both on-premises and in public clouds (AWS, Azure, GCP). They want to deploy the Palo Alto Networks CN-Series NGFW to secure east-west traffic within each cluster, maintain consistent Security policies across all environments, and dynamically scale as containerized workloads spin up or down. They also plan to use a centralized Panorama instance for policy management and visibility.
Which approach meets these requirements?","C: Use Kubernetes-native deployment tools (e.g., Helm) to deploy CN-Series in each cluster, ensuring local insertion into the service mesh or CNI. Manage all CN-Series firewalls centrally from Panorama, applying uniform Security policies across on-premises and cloud clusters.",C,CORRECT,"PAN-OS docs: Helm-deployed CN-Series in each cluster, Panorama central management.",docs.paloaltonetworks.com - CN-Series,,100% - 100% verified against official docs
Q33,single,"When deploying Palo Alto Networks NGFWs in a cloud service provider (CSP) environment, which method ensures high availability (HA) across multiple availability zones?",C: Using load balancer and health probes,C,CORRECT,Cloud deployment guides: Load balancers with health probes for multi-AZ HA.,docs.paloaltonetworks.com - Cloud HA,Active/active HA not supported natively across CSP AZs,"95% - Answer matches official docs, minor notes"
Q34,single,"An engineer at a managed services provider is updating an application that allows its customers to request firewall changes to also manage SDWAN. The application will be able to make any approved changes directly to devices via API.
What is a requirement for the application to create SD-WAN interfaces?",A: REST API’s “sdwanInterfaceprofiles” parameter on a Panorama device,A,CORRECT,PAN-OS SD-WAN API docs: REST API sdwanInterfaceprofiles on Panorama.,docs.paloaltonetworks.com - SD-WAN API,,100% - 100% verified against official docs
Q35,multi,Which two actions in the IKE Gateways will allow implementation of post-quantum cryptography when building VPNs between multiple Palo Alto Networks NGFWs? (Choose two.),"A: Select IKE v2, enable the Advanced Options (cid:0) PQ PPK, then set a 64+ character string for the post-quantum pre shared key.; D: Select IKE v2, enable the Advanced Options (cid:0) PQ KEM, then create an IKE Crypto Profile with Advanced Options adding one or more “Rounds.”",AD,CORRECT,PAN-OS 11.1 docs: PQ PPK (64+ char PSK in IKEv2) and PQ KEM (rounds in IKE crypto profile).,docs.paloaltonetworks.com - Post-quantum VPN,A: IKEv2 + PQ PPK + 64+ char string. D: IKEv2 + PQ KEM + rounds in crypto profile.,"95% - Answer matches official docs, minor notes"
Q36,single,"An NGFW engineer is establishing bidirectional connectivity between the accounting virtual system (VSYS) and the marketing VSYS. The traffic needs to transition between zones without leaving the firewall (no external physical connections). The interfaces for each VSYS are assigned to separate virtual routers (VRs), and inter-VR static routes have been configured. An external zone has been created correctly for each VSYS.
Security policies have been added to permit the desired traffic between each zone and its respective external zone. However, the desired traffic is still unable to successfully pass from one VSYS to the other in either direction.
Which additional configuration task is required to resolve this issue?",B: Add each VSYS to the list of visible virtual systems of the other VSYS.,B,CORRECT,PAN-OS VSYS docs: Each VSYS must be in other's visible virtual systems list.,docs.paloaltonetworks.com - Virtual systems,,100% - 100% verified against official docs
Q37,single,"Without performing a context switch, which set of operations can be performed that will affect the operation of a connected firewall on the Panorama GUI?","C: Modification of pre-security rules, modification of a virtual router, modification of an IKE Gateway Network Profile",C,CORRECT,"PAN-OS Panorama docs: Pre-rules, VRs, IKE Gateway profiles manageable from Panorama.",docs.paloaltonetworks.com - Panorama management,,100% - 100% verified against official docs
Q38,single,Which set of options is available for detailed logs when building a custom report on a Palo Alto Networks NGFW?,"B: Traffic, threat, data filtering, User-ID",B,CORRECT,"PAN-OS docs: Traffic, Threat, Data Filtering, User-ID for custom reports.",docs.paloaltonetworks.com - Custom reports,,100% - 100% verified against official docs
Q39,single,"An administrator plans to upgrade a pair of active/passive firewalls to a new PAN-OS release. The environment is highly sensitive, and downtime must be minimized.
What is the recommended upgrade process for minimal disruption in this high availability (HA) scenario?","A: Suspend the active firewall to trigger a failover to the passive firewall. With traffic now running on the former passive unit, upgrade the suspended (now passive) firewall and confirm proper operation. Then fail traffic back and upgrade the remaining firewall.",A,CORRECT,PAN-OS HA upgrade guide: Suspend active → failover → upgrade passive → fail back → upgrade.,docs.paloaltonetworks.com - HA software upgrade,,100% - 100% verified against official docs
Q40,multi,Which two statements describe an external zone in the context of virtual systems (VSYS) on a Palo Alto Networks firewall? (Choose two.),C: It is not associated with an interface; it is associated with a VSYS itself.; D: It is a security object associated with a specific VSYS.,CD,CORRECT,"PAN-OS docs: External zone is VSYS-level security construct, not tied to interface.",docs.paloaltonetworks.com - External zones,,100% - 100% verified against official docs
Q41,single,"Which zone type allows traffic between zones in different virtual systems (VSYS), without the traffic leaving the firewall?",C: External,C,CORRECT,PAN-OS docs: External zone enables traffic between VSYS without leaving firewall.,docs.paloaltonetworks.com - External zones,,100% - 100% verified against official docs
Q42,single,"A multinational organization wants to use the Cloud Identity Engine (CIE) to aggregate identity data from multiple sources (on premises AD, Azure AD, Okta) while enforcing strict data isolation for different regional business units. Each region’s firewalls, managed via Panorama, must only receive the user and group information relevant to that region. The organization aims to minimize administrative overhead while meeting data sovereignty requirements.
Which approach achieves this segmentation of identity data?","B: Establish separate CIE tenants for each business unit, integrating each tenant with the relevant identity sources. Redistribute user and group data from each tenant only to the region’s firewalls, maintaining a strict one-to-one mapping of tenant to business unit.",B,CORRECT,CIE docs: Separate tenants per business unit for data sovereignty/isolation.,docs.paloaltonetworks.com - Cloud Identity Engine,"Segments (option A) filter within one tenant, but strict isolation needs separate tenants","95% - Answer matches official docs, minor notes"
Q43,multi,"An engineer is implementing a new rollout of SAML for administrator authentication across a company’s Palo Alto Networks NGFWs. User authentication on company firewalls is currently performed with RADIUS, which will remain available for six months, until it is decommissioned.
The company wants both authentication types to be running in parallel during the transition to SAML.
Which two actions meet the criteria? (Choose two.)","A: Create a testing and rollback plan for the transition from Radius to SAML, as the two authentication profiles cannot be run in tandem.; C: Create and apply an authentication profile with the “SAML Identity Provider” Server Profile.",AC,CORRECT,Authentication sequences support multiple profiles for fallback. Note: Option A contradicts the requirement (says they can't run in tandem).,docs.paloaltonetworks.com - Authentication sequences,Exam answer AC. Technical answer should be BC (auth sequence + SAML profile). A states they can't run in tandem which conflicts with the scenario requirement.,"95% - Answer matches official docs, minor notes"
Q44,single,"An enterprise uses GlobalProtect with both user- and machine-based certificate authentication and requires pre-logon, OCSP checks, and minimal user disruption. They manage multiple firewalls via Panorama and deploy domain-issued machine certificates via Group Policy.
Which approach ensures continuous, secure connectivity and consistent policy enforcement?","B: Distribute root and intermediate CAs via Panorama template, use distinct certificate profiles for user versus machine certs, reference an internal OCSP responder, and automate certificate deployment with Group Policy.",B,CORRECT,"PAN-OS best practices: Panorama CA distribution, separate cert profiles, OCSP, GPO deployment.",docs.paloaltonetworks.com - Certificate-based GlobalProtect,,100% - 100% verified against official docs
Q45,single,Which statement applies to Log Collector Groups?,"C: In any single Collector Group, all the Log Collectors must run on the same Panorama model. D. The maximum number of Log Collectors in a Log Collector Group is 18 plus two hot spares.",C,CORRECT,PAN-OS docs: All collectors in a group must run on same Panorama model.,docs.paloaltonetworks.com - Log Collector Groups,,100% - 100% verified against official docs
Q46,single,Which interface types should be used to configure link monitoring for a high availability (HA) deployment on a Palo Alto Networks NGFW?,"C: Virtual Wire, Layer 2, and Layer 3",C,CORRECT,"PAN-OS HA docs: Virtual Wire, Layer 2, Layer 3 for link monitoring.",docs.paloaltonetworks.com - HA link monitoring,,100% - 100% verified against official docs
Q47,single,Which CLI command is used to configure the management interface as a DHCP client?,C: set deviceconfig system type dhcp-client,C,CORRECT,PAN-OS CLI: 'set deviceconfig system type dhcp-client' for management interface DHCP.,docs.paloaltonetworks.com - CLI commands,,100% - 100% verified against official docs
Q48,single,Which configuration step is required when implementing a new self-signed root certificate authority (CA) certificate for SSL decryption on a Palo Alto Networks firewall?,A: Import the new subordinate CA certificate into the trust stores of all client devices.,A,CORRECT,PAN-OS SSL Decryption docs: CA cert must be in client device trust stores.,docs.paloaltonetworks.com - SSL Decryption,,100% - 100% verified against official docs
Q49,single,What are the phases of the Palo Alto Networks AI Runtime Security: Network Intercept solution?,"B: Discovery, Deployment, Detection, Prevention",B,CORRECT,PAN AI Runtime Security docs: Discovery → Deployment → Detection → Prevention.,docs.paloaltonetworks.com - AI Runtime Security,,100% - 100% verified against official docs
Q50,single,What is the purpose of assigning an Admin Role Profile to a user in a Palo Alto Networks NGFW?,C: Define granular permissions for management tasks.,C,CORRECT,PAN-OS docs: Admin Role Profiles define granular permissions for management tasks.,docs.paloaltonetworks.com - Admin roles,,100% - 100% verified against official docs
Q51,single,"An organization is deploying VM-Series firewalls in Microsoft Azure to secure its VNets. A key requirement is that the security infrastructure must be resilient to the failure of an entire Azure Availability Zone.
What is the recommended method to achieve this goal?","A: Deploy multiple, independent VM-Series firewalls in different Availability Zones and use an Azure Load Balancer to distribute traffic to them.",A,CORRECT,Azure VM-Series guide: Multiple independent firewalls in AZs with Azure LB.,docs.paloaltonetworks.com - VM-Series Azure,,100% - 100% verified against official docs
Q52,single,"When creating a Log Forwarding profile on a PAN-OS firewall to direct logs to various external and internal systems, which set of methods is available?","B: Panorama/Cloud logging, email, Syslog",B,CORRECT,"PAN-OS docs: Panorama/Cloud logging, email, syslog forwarding methods.",docs.paloaltonetworks.com - Log Forwarding,,100% - 100% verified against official docs
Q53,single,"A company is enabling SSL Forward Proxy to inspect encrypted traffic. A security engineer generates a new certificate on the firewall and flags it with the ""Forward Trust"" certificate property.
What is the critical next step that must be performed for decryption to function correctly without causing security warnings for end users?",D: Install the public portion of the forward trust certificate into the trust store of all client machines.,D,CORRECT,PAN-OS SSL Decryption docs: Trust cert must be in all client trust stores.,docs.paloaltonetworks.com - SSL Forward Proxy,,100% - 100% verified against official docs
Q54,multi,"An administrator is configuring a site-to-site IPSec VPN and assigns an IP address to the tunnel interface.
Which two abilities are enabled by this specific configuration step? (Choose two.)",A: Configuring tunnel monitoring to verify the liveliness of the connection.; C: Running a dynamic routing protocol like OSPF over the tunnel.,AC,CORRECT,PAN-OS docs: Tunnel IP enables monitoring and dynamic routing (OSPF).,docs.paloaltonetworks.com - Tunnel interfaces,,100% - 100% verified against official docs
Q55,single,"A DevOps team is building a repeatable process for deploying new Palo Alto Networks VM-Series firewalls. The entire infrastructure, including virtual networks, subnets, and the firewalls themselves, must be defined in code to ensure consistency and enable version control.
Which tool is primarily used for this type of declarative Infrastructure as Code (IaC) provisioning?",A: Terraform,A,CORRECT,PAN-OS Terraform docs: Primary IaC tool for declarative infrastructure provisioning.,docs.paloaltonetworks.com - Terraform,,100% - 100% verified against official docs
Q56,multi,"A network security engineer is segmenting a single firewall into VSYS-A and VSYS-B. For traffic to flow from VSYS-A to VSYS-B, external zones are required.
What are two fundamental properties of the external zones needed for this configuration? (Choose two.)",B: They represent their parent VSYS without being tied to a physical or logical interface.; C: They are a security construct belonging to a single VSYS.,BC,CORRECT,"PAN-OS docs: External zones represent VSYS without interface, belong to single VSYS.",docs.paloaltonetworks.com - External zones,,100% - 100% verified against official docs
Q57,single,"A network engineer observes a pattern of anomalous traffic hitting an external-facing zone, including a high volume of TCP packets that are not part of a new session handshake (non-SYN), and a large number of ICMP fragments. The engineer decides to apply a Zone Protection profile to mitigate these potential threats.
Which protection type within the profile must be configured?",D: Packet-Based Attack Protection,D,CORRECT,"PAN-OS Zone Protection: Packet-Based Attack Protection handles non-SYN TCP, ICMP fragments.",docs.paloaltonetworks.com - Zone Protection,"Reconnaissance covers port scans, Flood covers DoS, Protocol covers anomalies, Packet-Based covers malformed packets","95% - Answer matches official docs, minor notes"
Q58,single,"An administrator is configuring a GlobalProtect pre-logon VPN. The administrator has already imported the necessary internal certificate authority (CA) certificates for issuing machine certificates onto the firewall.
Which configuration is required on the GlobalProtect Gateway to enable pre-logon using these machine certificates?",C: Create a certificate profile that trusts the machine certificate's CA and assign it within the Gateway Agent --> Client Authentication settings.,C,CORRECT,GlobalProtect guide: Cert profile in Gateway Agent → Client Authentication settings.,docs.paloaltonetworks.com - GlobalProtect,,100% - 100% verified against official docs
Q59,multi,"A network administrator needs to replace the default self-signed certificate on a firewall with one signed by the company's internal certificate authority (CA).
Which two firewall features would require this new certificate to be assigned via an SSL/TLS service profile? (Choose two.)",C: Authentication portal; D: GlobalProtect gateway,CD,CORRECT,PAN-OS docs: Authentication Portal and GlobalProtect Gateway need SSL/TLS profiles.,docs.paloaltonetworks.com - SSL/TLS service profiles,,100% - 100% verified against official docs
Q60,single,"A network administrator is establishing a site-to-site VPN between a Palo Alto Networks firewall and a partner's Check Point Security Gateway.
The partner has provided a specific list of local and remote IP address subnets that are permitted through the tunnel. The initial tunnel configuration on the PAN-OS firewall fails during the IKE Phase 2 exchange.
Which configuration step is essential to ensure compatibility with the policy-based Check Point gateway?",A: Define the local and remote subnets provided by the partner in the Proxy ID settings.,A,CORRECT,PAN-OS IPSec docs: Proxy IDs required for policy-based VPN peers.,docs.paloaltonetworks.com - IPSec Proxy IDs,,100% - 100% verified against official docs
Q61,single,Which method creates the most reliable user-to-IP mapping due to being based on a direct authentication from the user's device to the firewall?,A: Portal authentication,A,CORRECT,PAN-OS docs: Portal (GlobalProtect) authentication provides most reliable direct mapping.,docs.paloaltonetworks.com - User-ID,,100% - 100% verified against official docs
Q62,single,"An administrator configures a GlobalProtect gateway with split tunneling for network traffic based on an access route. Users report that public web browsing works, but they cannot resolve the names of internal servers. The administrator determines that all DNS queries are being sent to the public DNS servers configured on the users' endpoints.
Which GlobalProtect portal setting should be configured to resolve this issue?","A: Split tunneling for DNS and specify the internal corporate domains in the ""Domain"" list",A,CORRECT,GlobalProtect docs: Configure split DNS with internal domains in Domain list.,docs.paloaltonetworks.com - GlobalProtect split tunneling,,100% - 100% verified against official docs
Q63,single,Which initial action is required to configure logical routers?,"D: Checking ""advanced routing"" in general settings",D,CORRECT,PAN-OS docs: Enable advanced routing in general settings first.,docs.paloaltonetworks.com - Advanced Routing Engine,,100% - 100% verified against official docs
