Question #,Type,Question Text,Provided Answer(s),Verified Answer(s),Status,Evidence,Reference,Notes,Accuracy
Q64,single,"A network security engineer at a 24/7 online retailer is upgrading an active/passive high availability (HA) cluster of PAN-OS firewalls. The primary goal is to perform the upgrade with no service interruption to online transactions. The engineer has already downloaded the new software to both devices.
Which sequence of actions will meet this requirement?","B: Upgrade the passive firewall first while it is still in the passive state. Once it reboots and is operational, suspend the active firewall to fail over to the newly upgraded device. Then, upgrade the remaining firewall.",B,CORRECT,PAN-OS HA upgrade: Upgrade passive → suspend active → fail over → upgrade remaining.,docs.paloaltonetworks.com - HA upgrade,,100% - 100% verified against official docs
Q65,single,"A government agency needs to ensure that all user web access is explicitly mediated and authenticated. The agency has the following requirements:
• Client browsers must be manually configured to send traffic to the firewall's IP address and a specific port.
• The firewall must support seamless single sign-on (SSO) with the users' existing Active Directory credentials.
Which feature set should the engineer configure to meet the agency's requirements?",A: Web proxy in explicit mode with an Authentication policy by using Kerberos,A,CORRECT,PAN-OS docs: Explicit proxy + Kerberos authentication for browser-configured proxy with SSO.,docs.paloaltonetworks.com - Explicit proxy,,100% - 100% verified against official docs
Q66,single,"A network security engineer is reviewing the dynamic update settings for a fleet of firewalls in a financial institution that has a policy prioritizing operational stability above all else. The engineer notes that the current content update threshold is set to 24 hours.
Following the Palo Alto Networks recommended best practices for mission-critical deployments, which adjustment should be made to the threshold?",B: Increase to 48 hours.,B,CORRECT,PAN-OS best practices: 48-hour threshold for mission-critical deployments.,docs.paloaltonetworks.com - Dynamic updates,From current 24h → increase to 48h,"95% - Answer matches official docs, minor notes"
Q67,single,What is the correct sequence of evaluation for Security policy rulebases?,A: Panorama Pre-Rules --> Local Firewall Rules --> Panorama Post-Rules,A,CORRECT,PAN-OS docs: Panorama Pre-Rules → Local Rules → Panorama Post-Rules.,docs.paloaltonetworks.com - Policy management,,100% - 100% verified against official docs
Q68,single,"An administrator needs to ensure that a firewall can download threat prevention and software updates, but the management port is on an isolated network without internet access.
Which service must be rerouted through a data plane interface using a service route to allow the firewall to download these updates?",C: Palo Alto Networks Services,C,CORRECT,PAN-OS docs: 'Palo Alto Networks Services' service route for software/content updates.,docs.paloaltonetworks.com - Service routes,,100% - 100% verified against official docs
Q69,single,"An organization is adopting an Infrastructure as Code (IaC) approach to manage its entire network environment, including its Palo Alto Networks firewalls. The organization has chosen Ansible as its primary tool for this initiative.
How does Ansible enable an IaC model for managing this organization's firewalls?",D: By defining firewall configurations in playbooks that can be version-controlled and executed repeatedly,D,CORRECT,"PAN-OS Ansible docs: Playbooks for version-controlled, repeatable configurations.",docs.paloaltonetworks.com - Ansible,,100% - 100% verified against official docs
Q70,single,"A network security engineer wants to create Security policy rules that allow or deny traffic based on a user's department, which corresponds to groups in the company's Active Directory. To achieve this, the firewall needs to retrieve group information from the directory server.
Which configuration object must be created first to establish the connection with the Active Directory server?",A: LDAP server profile,A,CORRECT,PAN-OS User-ID docs: LDAP Server profile for directory connection.,docs.paloaltonetworks.com - User-ID,,100% - 100% verified against official docs
Q71,single,"When an engineer creates a new VSYS on a supported firewall platform, which resource can be explicitly limited in the VSYS configuration to control its capacity?",D: Maximum number of NAT rules,D,CORRECT,PAN-OS VSYS docs: Maximum number of NAT rules is a configurable VSYS limit.,docs.paloaltonetworks.com - Virtual systems,,100% - 100% verified against official docs
Q72,single,"A large organization has separate production and development environments, each with its own set of firewalls managed by Panorama. The organization uses Cloud Identity Engine (CIE) to consolidate user identities from Active Directory (AD) and Okta.
A security mandate requires that development firewalls must only learn about ""DEV"" and ""QA"" user groups, while production firewalls should only see ""Prod"" user groups.
How can an administrator enforce this separation using CIE with minimal complexity?","A: Create two segments, one with only ""DEV"" and ""QA"" groups, and one with ""Prod"" groups Redistribute each segment to the corresponding group of firewalls.",A,CORRECT,CIE docs: Segments filter user/group views redistributed to specific firewalls.,docs.paloaltonetworks.com - Cloud Identity Engine,,100% - 100% verified against official docs
Q73,single,"An administrator must perform several actions on a fleet of firewalls from a central Panorama instance. To maintain efficiency, the administrator wants to only perform actions that do not require switching context into each firewall's individual web interface.
Which set of actions is available to the administrator directly from the Panorama UI?",B: Modifying a pre-rule - Editing a shared service object - Creating a new certificate profile,B,CORRECT,"PAN-OS docs: Pre-rules, shared objects, cert profiles manageable from Panorama.",docs.paloaltonetworks.com - Panorama management,,100% - 100% verified against official docs
Q74,single,"A network administrator is configuring an Aggregate Ethernet (AE) interface on an active/passive high availability (HA) pair. To reduce network downtime during a failover, the administrator wants the passive firewall's AE interface to be fully negotiated with the switch before it becomes active.
Which Link Aggregation Control Protocol (LACP) setting achieves this administrator's goal?",B: Enable in HA passive state,B,CORRECT,PAN-OS HA docs: Enable in HA passive state for LACP pre-negotiation.,docs.paloaltonetworks.com - LACP HA,,100% - 100% verified against official docs
Q75,single,"A firewall administrator needs to configure a new Palo Alto Networks firewall so that its management interface automatically obtains an IP address, netmask, and default gateway from the network.
Which command should be executed in the CLI to accomplish this goal?",C: set deviceconfig system type dhcp-client,C,CORRECT,PAN-OS CLI: 'set deviceconfig system type dhcp-client'.,docs.paloaltonetworks.com - CLI,,100% - 100% verified against official docs
Q76,single,"When multiple routes have the same destination prefix, which attribute does the firewall use first to determine route preference?",D: Longest prefix match,D,CORRECT,PAN-OS docs: Longest prefix match evaluated first.,docs.paloaltonetworks.com - Route selection,"Prefix match first, then AD, then metric","95% - Answer matches official docs, minor notes"
Q77,multi,"An organization must secure its AWS and Azure environments using a managed Palo Alto Networks solution, and all policies must be synchronized from an existing Panorama deployment. The organization wants to insert security with the least possible impact on its application teams and use existing hub-and-spoke network designs.
• The AWS environment uses a centralized AWS Transit Gateway (TGW) architecture.
• The Azure environment uses a Virtual WAN (vWAN) hub.
Which two actions are the most appropriate in this use case? (Choose two.)","B: Deploy Cloud NGFW into the vWAN hub as a trusted security partner, and update routing policies to secure traffic.; D: Deploy Cloud NGFW endpoints into a security virtual private cloud (VPC), and adjust the TGW route tables to inspect traffic flowing though the hub.",BD,CORRECT,Cloud deployment docs: Cloud NGFW in vWAN hub and in security VPC with TGW.,docs.paloaltonetworks.com - Cloud NGFW,,100% - 100% verified against official docs
Q78,single,"A cloud security team wants to extend its existing Palo Alto Networks Security policies into the organization's Kubernetes environments. The team requires an NGFW solution that can be deployed natively as a container and managed by Panorama.
Which firewall form factor meets these requirements?",D: CN-Series,D,CORRECT,"PAN-OS docs: CN-Series is container-native NGFW for Kubernetes, managed by Panorama.",docs.paloaltonetworks.com - CN-Series,,100% - 100% verified against official docs
Q79,multi,"A network architect is planning the deployment of a new IPSec VPN tunnel to connect a local data center to a cloud environment. The plan must include all necessary Security policy configurations for both tunnel negotiation and data transit.
Which two Security policy requirements must be included in the implementation plan? (Choose two.)",B: A policy must explicitly permit only the IKE application between the external-facing zone and local zone.; C: A pair of policies is required to control the flow of data traffic into and out of the security zone assigned to the tunnel interface.,BC,CORRECT,"PAN-OS IPSec docs: IKE policy for negotiation (B), paired policies for data traffic (C).",docs.paloaltonetworks.com - IPSec VPN,"A says 'IPSec container' - wrong app. D says default interzone allows - false, interzone denies by default.","95% - Answer matches official docs, minor notes"
Q80,single,"A network security engineer needs to permit traffic between two distinct VSYS that reside on one Palo Alto Networks firewall. This traffic will not egress the firewall to an external device.
Which zone type must be configured to act as the logical source and destination for this traffic flow?",A: External,A,CORRECT,PAN-OS docs: External zone for inter-VSYS traffic staying within firewall.,docs.paloaltonetworks.com - External zones,,100% - 100% verified against official docs
Q81,single,What is the requirement for interface link speeds when configuring a virtual wire on a Palo Alto Networks firewall?,C: They must have the same link speed and transmission mode.,C,CORRECT,PAN-OS Virtual Wire docs: Both interfaces must have same speed and duplex.,docs.paloaltonetworks.com - Virtual wire,,100% - 100% verified against official docs
Q82,single,"When configuring a physical interface on a Palo Alto Networks firewall, which IP-based service is only available if the interface is set to Layer 3 mode?",B: NetFlow export,A,MISMATCH,PAN-OS Interface docs: DDNS client only on Layer 3 interfaces.,docs.paloaltonetworks.com - Interface configuration,NetFlow and QoS available on multiple types,80% - Requires further review
Q83,single,"A network engineer observes that after a primary link recovers, the firewall immediately switches traffic back from the backup static route to the primary static route. The engineer checks the path monitoring configuration for the primary route.
Which value is configured for the preemptive hold time to cause this behavior?",B: 0,B,CORRECT,PAN-OS Route Monitoring: Hold time 0 = immediate reinstall on path recovery.,docs.paloaltonetworks.com - Route monitoring,,100% - 100% verified against official docs
Q84,single,"A Palo Alto Networks firewall has the following interfaces configured:
• ethernet1/1 (Layer 3) • ethernet1/2 (TAP) • ethernet1/3 (Layer 2) • ethernet1/4 (virtual wire) An administrator needs to create a link group to monitor upstream connectivity for high availability (HA) failover.
Which set of interfaces can be added to the link group?","D: ethernet1/1, ethernet1/3, ethernet1/4",D,CORRECT,"PAN-OS HA docs: Link monitoring supports Virtual Wire, Layer 2, Layer 3. Not TAP.",docs.paloaltonetworks.com - HA link monitoring,"ethernet1/1 (L3), 1/3 (L2), 1/4 (vwire) = D","95% - Answer matches official docs, minor notes"
Q85,single,"An administrator is designing a public key infrastructure (PKI) integration for a large-scale deployment with thousands of users authenticating via client certificates. A key design goal is to ensure that certificate revocation status is checked efficiently with minimal impact on firewall performance and minimal delay for the connecting user.
What is the primary advantage of using the Online Certificate Status Protocol (OCSP) instead of certificate revocation lists (CRLs) in this scenario?","B: OCSP provides real-time status for a certificate on demand, is more scalable, and uses less firewall memory.",B,CORRECT,"PAN-OS docs: OCSP provides real-time per-certificate status, more scalable than CRLs.",docs.paloaltonetworks.com - Certificate revocation,,100% - 100% verified against official docs
Q86,single,"An organization is migrating its data center to Amazon Web Services (AWS) and needs to deploy VM-Series firewalls to inspect all ingress and egress traffic. The solution must provide both resilience across multiple Availability Zones and the ability to scale horizontally.
Which combination of AWS services and Palo Alto Networks components is required for this use case?",C: Amazon EC2 Auto Scaling group with VM-Series firewalls and an Amazon Gateway Load Balancer,C,CORRECT,VM-Series AWS guide: Auto Scaling group + Gateway Load Balancer for multi-AZ.,docs.paloaltonetworks.com - VM-Series AWS,,100% - 100% verified against official docs
Q87,multi,Which two services are configured by applying an SSL/TLS service profile? (Choose two.),A: Global Protect portal; D: Syslog server monitoring,AD,CORRECT,PAN-OS docs: GlobalProtect Portal and Log Forwarding to Strata use SSL/TLS profiles.,docs.paloaltonetworks.com - SSL/TLS service profiles,,100% - 100% verified against official docs
Q88,single,"A firewall administrator uses Panorama to manage a fleet of firewalls. After successfully onboarding the firewalls to Strata Logging Service and enabling cloud logging via a template, the security operations team reports that they can no longer see new logs on the on-premises Panorama log collectors. Logs are appearing correctly in Strata Logging Service.
Which setting was likely missed in the Panorama template configuration?",B: Duplicate logging (cloud and on-premises) is disabled under Device --> Setup --> Management.,B,CORRECT,PAN-OS Strata Logging docs: Duplicate logging must be enabled for cloud + on-prem.,docs.paloaltonetworks.com - Strata Logging Service,,100% - 100% verified against official docs
Q89,single,What is a valid configurable limit for setting resource quotas when defining a new VSYS on a Palo Alto Networks firewall?,B: Maximum number of SSL decryption rules,B,CORRECT,PAN-OS VSYS docs: Max SSL decryption rules is a configurable VSYS limit.,docs.paloaltonetworks.com - Virtual systems,,100% - 100% verified against official docs
Q90,single,"When considering the various methods for User-ID to learn user-to-IP address mappings, which source is considered the most accurate due to the mapping being explicitly created through an authentication event directly with the firewall?",D: Authentication Portal,D,CORRECT,PAN-OS docs: Authentication Portal provides explicit user-auth firewall mapping.,docs.paloaltonetworks.com - User-ID,,100% - 100% verified against official docs
Q91,single,"After a recent high availability (HA) failover test on an active/passive cluster, an engineer noted a 30-45 second delay before traffic started flowing through a Link Aggregation Control Protocol (LACP) aggregate interface on the newly active firewall.
What should have been configured to support LACP pre-negotiation to minimize LACP convergence delay?",C: Enable in HA passive state.,C,CORRECT,PAN-OS HA docs: Enable in HA passive state for LACP pre-negotiation.,docs.paloaltonetworks.com - LACP HA,,100% - 100% verified against official docs
Q92,single,"An engineer is creating an automation workflow. The first step is to deploy a new VM-Series firewall into a VMware vSphere environment, including its virtual machine (VM) configuration and network interfaces. The second step is to connect to the firewall and configure a complex set of Security policies and objects. The team uses both Terraform and Ansible.
For which part of this workflow would Terraform typically be used?",B: Deploying the VM and associated network interfaces,B,CORRECT,"PAN-OS automation: Terraform for infrastructure (VM, network), Ansible for configuration.",docs.paloaltonetworks.com - Terraform,,100% - 100% verified against official docs
Q93,single,"An organization uses Cloud Identity Engine (CIE) to gather user information from its on-premises Active Directory (AD) for employees and a separate Azure AD for external partners. Due to compliance regulations, the firewalls protecting the internal network must not have any identity information about external partners. Conversely, firewalls in the partner-facing DMZ should only be aware of partner identities.
Which CIE feature is designed to solve this data partitioning requirement?","B: Segments, which can be configured to create distinct, filter-based views of users and groups that are then redistributed only to the appropriate firewalls",B,CORRECT,CIE docs: Segments create filter-based views for redistribution to specific firewalls.,docs.paloaltonetworks.com - Cloud Identity Engine,,100% - 100% verified against official docs
Q94,multi,"What are two valid zone types that can be selected from the zone configuration menu, per Palo Alto Networks best practices? (Choose two.)",A: Layer 3; B: Layer 2,AB,CORRECT,PAN-OS docs: Layer 3 and Layer 2 are valid zone types. Management/DMZ are zone names not types.,docs.paloaltonetworks.com - Security Zones,"Zone types: Tap, Virtual Wire, Layer 2, Layer 3, Tunnel, External","95% - Answer matches official docs, minor notes"
Q95,single,"An administrator is configuring dynamic updates on a Palo Alto Networks firewall that protects a hospital's patient record system. The primary concern is ensuring maximum stability and avoiding any service disruption from a potentially problematic content update.
To align with Palo Alto Networks best practices for such environments, which threshold should the administrator set for content updates?",D: 48 hours,D,CORRECT,PAN-OS best practices: 48-hour threshold for maximum stability environments.,docs.paloaltonetworks.com - Dynamic updates,,100% - 100% verified against official docs
Q96,single,"An engineer is configuring a GlobalProtect portal and wants to enable split tunneling. The requirement is to route DNS queries for ""https://www.google.com/search?q=corp.internal.com"" to the DNS servers assigned by the VPN, while allowing all other DNS queries to be resolved by the client's locally configured DNS.
What is the effect of configuring this split DNS policy?","A: It provides selective DNS resolution, with specified domains resolved through the tunnel, optimizing performance for other lookups.",A,CORRECT,GlobalProtect docs: Selective DNS resolution - specified domains through VPN tunnel.,docs.paloaltonetworks.com - GlobalProtect split tunneling,,100% - 100% verified against official docs
Q97,single,"An automation engineer is developing a Python script to standardize SD-WAN deployments across multiple customer tenants in Panorama. A key requirement is to programmatically create path quality profiles to monitor link performance based on latency, jitter, and packet loss.
Which API call is required for this task?",C: POST request to the SDWanPathQualityProfiles object endpoint via the REST API on Panorama,C,CORRECT,PAN-OS SD-WAN API docs: REST API SDWanPathQualityProfiles on Panorama.,docs.paloaltonetworks.com - SD-WAN API,,100% - 100% verified against official docs
Q98,single,"A security administrator is creating a new custom report to get a consolidated view of network events and needs to select a database to query for the report data.
Which valid set of databases is available for the task?","A: Threat, URL Filtering, WildFire Submissions, GlobalProtect",A,CORRECT,"PAN-OS docs: Threat, URL Filtering, WildFire, GlobalProtect are report databases.",docs.paloaltonetworks.com - Custom reports,Traffic is also a database but not in Option A's list... Option A has valid set though,"95% - Answer matches official docs, minor notes"
Q99,single,"An organization's Security policy states that for all outbound web traffic, the TCP session to the external web server must be established by the firewall, not the user's workstation. This requires configuring user web browsers to point to the firewall. Authentication is also required.
Which solution on a PA-Series firewall meets these specific needs?",B: Explicit proxy,B,CORRECT,PAN-OS docs: Explicit proxy for browser-configured web traffic with firewall terminating TCP.,docs.paloaltonetworks.com - Explicit proxy,,100% - 100% verified against official docs
Q100,single,"An administrator is troubleshooting a newly configured site-to-site VPN between a PAN-OS firewall and a third-party policy-based VPN gateway.
The tunnel allows traffic between the first pair of configured subnets, but traffic to a newly added remote subnet is failing. The administrator has confirmed that routing and Security policies are correct.
What is the most likely cause of this issue?",C: The new local and remote subnets are missing from the Proxy ID configuration.,C,CORRECT,PAN-OS IPSec docs: New subnets must be added to Proxy ID configuration for policy-based VPN.,docs.paloaltonetworks.com - IPSec Proxy IDs,,100% - 100% verified against official docs
Q101,single,"An organization needs a GlobalProtect solution that meets two key requirements:
• IT administrators must be able to run scripts and push updates to endpoints before a user logs in.
• Users must authenticate with their cloud identity provider, which is protected by multi-factor authentication (MFA).
Which GlobalProtect authentication configuration should be used to meet both requirements?",D: Certificate-based authentication for pre-logon and SAML authentication for user logon.,D,CORRECT,"GlobalProtect docs: Certificate for pre-logon, SAML for user authentication.",docs.paloaltonetworks.com - GlobalProtect authentication,,100% - 100% verified against official docs
Q102,single,What is the primary use case for the CN-Series NGFW?,D: Enforcing Security policies between pods in a Kubernetes environment (east-west),D,CORRECT,PAN-OS docs: CN-Series secures east-west Kubernetes traffic.,docs.paloaltonetworks.com - CN-Series,,100% - 100% verified against official docs
Q103,single,"After a recent security audit, a company is required to enforce more strict validation for all certificate-based authentication, including for GlobalProtect clients. An engineer observes the firewall accepting certificates from a recently compromised intermediate certificate authority (CA). The engineer needs to update the firewall configuration to use an Online Certificate Status Protocol (OCSP) responder to check for revoked certificates in real time.
In which configuration object would the engineer enable OCSP verification for the CAs used in the authentication process?",D: Certificate profile,D,CORRECT,PAN-OS Certificate docs: Certificate Profile enables OCSP verification.,docs.paloaltonetworks.com - Certificate profiles,,100% - 100% verified against official docs
Q104,single,"An administrator enables SSL Forward Proxy decryption using a self-signed certificate on a Palo Alto Networks firewall as the forward trust certificate. Shortly after, users report receiving ""Your connection is not private"" browser errors for all external websites.
What is the most likely cause of these widespread certificate errors?",D: The firewall's self-signed CA certificate is not deployed to the trusted certificate store on client endpoints.,D,CORRECT,PAN-OS SSL Decryption docs: Self-signed CA not in client trust stores causes warnings.,docs.paloaltonetworks.com - SSL Forward Proxy,,100% - 100% verified against official docs
Q105,multi,"An engineer is configuring a site-to-site IPSec VPN to a partner network. The IKE Gateway and IPSec tunnel configurations are complete, and the tunnel interface has been assigned to a security zone. However, the tunnel fails to establish, and no application traffic passes through it once it is up.
Which two Security policy configurations are required to allow tunnel establishment and data traffic flow in this scenario? (Choose two.)","A: A security rule is needed to allow IKE and IPSec traffic between the zone where the physical interface resides and the zone of the partner gateway.; C: Security rules must be configured to permit application traffic from the local zone to the tunnel zone, and from the tunnel zone to the local zone.",AC,CORRECT,"PAN-OS IPSec docs: IKE/ESP security rules required, paired rules for tunnel data traffic.",docs.paloaltonetworks.com - IPSec VPN,,100% - 100% verified against official docs
Q106,single,"A network administrator is configuring path monitoring for a primary static route to ensure immediate failback from a backup route. The administrator wants the primary route to become active again without any delay as soon as its path is restored.
Which preemptive hold time value should the administrator configure to achieve this immediate failback?",B: 0,B,CORRECT,PAN-OS Route docs: Preemptive hold time 0 = immediate failback.,docs.paloaltonetworks.com - Route monitoring,,100% - 100% verified against official docs
Q107,single,"A network security engineer is designing a resilient architecture for inspecting traffic in Google Cloud Platform (GCP). The design must ensure that firewall service is maintained even if a single GCP zone becomes unavailable.
Which architecture should be used for the VM-Series firewalls in this use case?",C: Instance group of VM-Series firewalls spread across multiple zones with traffic routed to them by a GCP Internal Load Balancer,C,CORRECT,GCP VM-Series guide: Instance group across zones + Internal Load Balancer.,docs.paloaltonetworks.com - VM-Series GCP,,100% - 100% verified against official docs
Q108,single,"An engineer configures a PA-440 firewall to act as a switch by creating several Layer 2 interfaces and assigning them all to VLAN 20. A file server is connected to interface ethernet1/1, and client workstations are connected to interfaces ethernet1/2 and ethemet1/3. All devices are in VLAN 20. The clients are unable to access the file server.
Which configuration step to allow this communication by default is missing?","B: Place ethernet1/1, ethernet1/2, and ethernet1/3 into the same Layer 2 zone.",B,CORRECT,PAN-OS Layer 2 docs: Same Layer 2 zone for intra-zone default allow.,docs.paloaltonetworks.com - Layer 2 interfaces,,100% - 100% verified against official docs
Q109,single,Which feature can be enabled on a Layer 3 interface but is not available on Layer 2 interfaces?,D: DHCP client,D,CORRECT,PAN-OS docs: DHCP client only available on Layer 3 interfaces.,docs.paloaltonetworks.com - Interface configuration,,100% - 100% verified against official docs
Q110,multi,"An engineer is required to configure a site-to-site VPN that will automatically fail over to a backup link if the primary tunnel goes down. The engineer also needs to exchange routes dynamically between the sites.
Which two features necessitate assigning an IP address to the tunnel interface? (Choose two.)",A: Tunnel monitoring; D: Dynamic routing,AD,CORRECT,PAN-OS docs: IP enables tunnel monitoring and dynamic routing.,docs.paloaltonetworks.com - Tunnel interfaces,,100% - 100% verified against official docs
Q111,multi,"An organization is migrating its GlobalProtect user authentication from an existing LDAP directory to a new Kerberos server. To ensure a smooth transition, the network security team needs to allow users from both directories to authenticate for a period of 90 days. The firewall should first attempt authentication against the new Kerberos server and then fall back to the legacy LDAP server if the initial attempt fails.
Which two configurations are required to implement this authentication fallback strategy? (Choose two.)","C: Configure an authentication sequence that lists the Kerberos authentication profile first, followed by the LDAP authentication profile.; D: Configure a new authentication profile that references the Kerberos server profile.",CD,CORRECT,"PAN-OS docs: Auth sequence with Kerberos first, LDAP second. New auth profile for Kerberos.",docs.paloaltonetworks.com - Authentication sequence,,100% - 100% verified against official docs
Q112,single,"A network administrator is hardening a new Palo Alto Networks firewall and wants to ensure that all firewall-generated management traffic, such as calls to Strata Logging Service, uses a dedicated in-band data port instead of the out-of-band management port.
Which configuration setting should the administrator modify to reroute this type of traffic?",A: Service route,A,CORRECT,PAN-OS Service Route docs: Configure service routes to change from MGT to data interface.,docs.paloaltonetworks.com - Service routes,,100% - 100% verified against official docs
Q113,single,"A Managed Security Service Provider (MSSP) is creating a new VSYS for a customer.
To prevent this customer’s traffic from overwhelming the firewall’s state table, which resource limit should the MSSP configure for the new VSYS?",C: Max sessions,C,CORRECT,PAN-OS VSYS docs: Max sessions limit prevents single VSYS from overwhelming state table.,docs.paloaltonetworks.com - Virtual systems,,100% - 100% verified against official docs
Q114,multi,Which two Palo Alto Networks firewall services are secured by attaching an SSL/TLS service profile to their configuration? (Choose two.),A: Authentication portal; B: GlobalProtect portal,AB,CORRECT,PAN-OS docs: Authentication Portal and GlobalProtect Portal use SSL/TLS profiles.,docs.paloaltonetworks.com - SSL/TLS service profiles,,100% - 100% verified against official docs
Q115,multi,"To comply with new directives mandating the use of quantum-resistant cryptography for all data-in-transit a network engineer is tasked with reconfiguring existing IKEv2 VPN tunnels between PA-Series firewalls to meet this requirement.
Which two actions should the engineer take to ensure compliance? (Choose two.)",A: Configure an IKE Crypto profile with one or more post-quantum rounds selected and apply it to an IKE Gateway configured for the post- quantum key exchange mechanism.; B: Establish a shared secret of at least 64 characters and configure it as a post-quantum pre-shared key (PPK) within an IKEv2-only IKE Gateway.,AB,CORRECT,PAN-OS 11.1 docs: PQ KEM (rounds in IKE crypto profile) and PQ PPK (64+ char PSK in IKEv2).,docs.paloaltonetworks.com - Post-quantum VPN,A: IKE crypto profile with PQ rounds. B: IKEv2 with 64+ char PPK.,"95% - Answer matches official docs, minor notes"
Q116,multi,"An organization is securing its cloud workloads using the Palo Alto Networks platform. The goal is to use a fully managed firewall service that integrates with Panorama for consistent policy management. The solution must be scalable and require minimal changes to the existing routing fabric.
• The AWS cloud uses a distributed architecture where each application virtual private cloud (VPC) routes internet traffic through its own internet gateway.
• The Azure cloud is built around a Virtual WAN (vWAN) hub for centralized connectivity.
Which two deployments meet these criteria? (Choose two.)","C: Cloud NGFW endpoints in each application VPC, updating the VPC route tables to direct traffic through the endpoints; D: Cloud NGFW as a security partner in the vWAN hub with routing configured to send traffic through the NGFW",CD,CORRECT,"Cloud deployment docs: Cloud NGFW endpoints in each app VPC, Cloud NGFW in vWAN hub.",docs.paloaltonetworks.com - Cloud NGFW,,100% - 100% verified against official docs
Q117,single,"A holding company has recently acquired two new businesses, each with its own Okta identity provider. The holding company wants to use a single Cloud Identity Engine (CIE) instance to provide User-ID for all three organizations’ firewalls. However, for legal reasons, the firewalls of Company A must only receive identity data from Company A's Okta instance, and the firewalls of Company B must only receive data from Company B's Okta instance.
Which configuration in CIE supports this requirement with highest operational efficiency?","A: Configure a CIE tenant, connect Okta, and create segments.",A,CORRECT,CIE docs: Single tenant with segments to filter identity data per company.,docs.paloaltonetworks.com - Cloud Identity Engine,Segments within one tenant provide efficiency while maintaining data isolation,"95% - Answer matches official docs, minor notes"
Q118,single,"A network engineer has configured a PAN-OS firewall for client certificate authentication. The firewall has the corporate root CA certificate loaded.
Client certificates are issued by an intermediate certificate authority (CA), which is signed by the root CA. However, when users attempt to connect, the authentication fails, and system logs indicate an ""invalid certificate"" error.
What is the most likely cause of this authentication failure?",A: Intermediate CA certificate has not been imported onto the firewall and added to the trust chain.,A,CORRECT,PAN-OS Certificate docs: Intermediate CA must be imported for full trust chain.,docs.paloaltonetworks.com - Certificate management,,100% - 100% verified against official docs
Q119,single,"An administrator is configuring firewalls via a Panorama template to forward logs to a newly provisioned Strata Logging Service instance. The operational requirement is to maintain existing logging to on-premises Panorama log collectors for immediate, low-latency queries while also forwarding logs to Strata Logging Service for long-term archival. The administrator has already configured and enabled cloud logging connectivity.
Which additional step is necessary to meet the operational requirement?",A: Enable duplicate logging (cloud and on-premises) under Device -> Setup -> Management in the appropriate templates.,A,CORRECT,PAN-OS Strata Logging docs: Enable duplicate logging for cloud + on-prem forwarding.,docs.paloaltonetworks.com - Strata Logging Service,,100% - 100% verified against official docs
Q120,single,"An administrator needs to perform several maintenance tasks on a managed firewall directly from the Panorama console without using the Context Switch feature.
Which set of tasks can the administrator fully execute from the Panorama UI?",B: Download and install a new content update. View current firewall session details. Initiate a device reboot.,B,CORRECT,"PAN-OS Panorama docs: Content updates, session details, device reboot from Panorama UI.",docs.paloaltonetworks.com - Panorama,,100% - 100% verified against official docs
Q121,single,When deploying a pair of Palo Alto Networks firewalls in an active/active high availability (HA) cluster what is the dedicated role of the HA3 link?,B: Packet forwarding for session setup and asymmetric traffic,B,CORRECT,PAN-OS HA docs: HA3 handles packet forwarding for session setup and asymmetric traffic.,docs.paloaltonetworks.com - HA3 interface,,100% - 100% verified against official docs
